scenario,chi0_conv,chi0_train,chi0_inf,tau_train,tau_inf,floor_train,floor_inf,E2030_landing,splice_train,splice_inf,chi30_training,chi30_inference,chi30_conv,E2030_preview,E2035_preview,E2040_preview,E2050_preview
Low,0.13654596941612196,0.3954001989126558,0.5025518580801205,7.0,7.0,0.0,0.0,523.9,0.0,0.0,4.108,6.024,1.763,523.9,1114.7,1689.5,2530.2
Medium,0.13654596941612196,0.3954001989126558,0.5025518580801205,10.0,10.0,0.0,0.0,622.3,0.0,0.0,4.739,7.224,1.763,622.3,1799.8,3632.8,7971.4
High,0.13654596941612196,0.3954001989126558,0.5025518580801205,13.0,13.0,0.0,0.0,689.8,0.0,0.0,5.161,8.052,1.763,689.8,2466.8,6278.7,20290.7
