kind,database_group,demand,efficiency,climate_policy,source_file,public_file,source_scenario,public_scenario,source_sha256,public_sha256
scenario,,low,high,net-zero-2050,configuration_AI_DLow_EHigh_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-low_efficiency-high_net-zero-2050.xml,AI_DLow_EHigh_nz2050co2_brp7d8cal,ai-data-center_demand-low_efficiency-high_net-zero-2050,7fc97e63777e8a1722d8b8fd1bd7f0b4a5fdbbc3bea946da60e6873e4195ee0f,f2f333d45b0fba7d0c2428a869b91a59c5abce98362a9e084808c57fedebf4fb
scenario,,low,high,reference,configuration_AI_DLow_EHigh_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-low_efficiency-high_reference.xml,AI_DLow_EHigh_ref_brp7d8cal,ai-data-center_demand-low_efficiency-high_reference,3cbaef942a00ef93e94d6a254c7ebf7d6ca0e817a6ba246f185d67e4170802d7,4d46be872b03a201158b67c11b0680390a2592f7f3d18f1c1b617b17c4fd1e3f
scenario,,low,low,net-zero-2050,configuration_AI_DLow_ELow_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-low_efficiency-low_net-zero-2050.xml,AI_DLow_ELow_nz2050co2_brp7d8cal,ai-data-center_demand-low_efficiency-low_net-zero-2050,a4d84f988e2a5ee2abd1166dc1d149888999ef5fdce15f3ba7564748dea33208,b82e0314ca25f0508f36751bf4e20492b9769e30d11c356a0a06fb93aef74495
scenario,,low,low,reference,configuration_AI_DLow_ELow_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-low_efficiency-low_reference.xml,AI_DLow_ELow_ref_brp7d8cal,ai-data-center_demand-low_efficiency-low_reference,7ae8c6e4f8304cf4d9af7ebcb3f8cf769320d4ceb6e1d892b1b82f2079c3a227,c6b71ea75822d1a6728ee292840e0933d54b566a694295e1306da33f73e3d69b
scenario,,low,medium,net-zero-2050,configuration_AI_DLow_EMedium_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-low_efficiency-medium_net-zero-2050.xml,AI_DLow_EMedium_nz2050co2_brp7d8cal,ai-data-center_demand-low_efficiency-medium_net-zero-2050,dcf1f504f973cf05b22e8ca380be684997acbfacea5b981507e097526acef483,f7fda8860c5bc721708201b0ca3d0f00ec1b9406311ef41fbcb93737d59beedc
scenario,,low,medium,reference,configuration_AI_DLow_EMedium_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-low_efficiency-medium_reference.xml,AI_DLow_EMedium_ref_brp7d8cal,ai-data-center_demand-low_efficiency-medium_reference,1d3db3b5475ef2fa65cadef0cc08d9a3a7a1b33779d266a83c242e18a71ccd87,ede347f46dd4d18b143f4c13075db0698d96d951f2970c0041ff2377112a70d5
scenario,,medium,high,net-zero-2050,configuration_AI_DMedium_EHigh_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-medium_efficiency-high_net-zero-2050.xml,AI_DMedium_EHigh_nz2050co2_brp7d8cal,ai-data-center_demand-medium_efficiency-high_net-zero-2050,09434347bb2890bdee264cf243ada73cf6a6855209e11b14fa20eb32fa6e3870,a7cefb15af1768bcc5588405c724136bb77ab5bef4529cd7be425311b7b8f663
scenario,,medium,high,reference,configuration_AI_DMedium_EHigh_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-medium_efficiency-high_reference.xml,AI_DMedium_EHigh_ref_brp7d8cal,ai-data-center_demand-medium_efficiency-high_reference,a92a4c24d9d9e7428f587afe6a3b47fe4bc03b5d3aeea46fd405c1e078bcf140,632dd05954b0d5da7f433746998f201367d5832a80878bff25b24c4603ac5f88
scenario,,medium,low,net-zero-2050,configuration_AI_DMedium_ELow_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-medium_efficiency-low_net-zero-2050.xml,AI_DMedium_ELow_nz2050co2_brp7d8cal,ai-data-center_demand-medium_efficiency-low_net-zero-2050,49b635f3f0c6513ffdac51979d4c6ff7ce2c6ce2f40cd6b4d286c5a4e8c09814,6da8a4b608200dbc9d2babced6fd4ff066b99ddf1a5b677232287c8e0a54f4f5
scenario,,medium,low,reference,configuration_AI_DMedium_ELow_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-medium_efficiency-low_reference.xml,AI_DMedium_ELow_ref_brp7d8cal,ai-data-center_demand-medium_efficiency-low_reference,978b78b52a6d46b1cb561a497d2358497f9669783b9a4ac9b8f0b24a04c702a1,94a156f685fda804c498c2163f6d6d7e9b2fa0bdca87b4a2ebf033d9dad397a8
scenario,,medium,medium,net-zero-2050,configuration_AI_DMedium_EMedium_nz2050co2_brp7d8cal.xml,scenarios/ai-data-center_demand-medium_efficiency-medium_net-zero-2050.xml,AI_DMedium_EMedium_nz2050co2_brp7d8cal,ai-data-center_demand-medium_efficiency-medium_net-zero-2050,95b1955533047bea30d3c38717a4c3e9393384257bb23b05fc5a4fce25ca877e,44fe06def56b7aabf090748be90a4092f3fbbfa3895f495c19886d646be05aa8
scenario,,medium,medium,reference,configuration_AI_DMedium_EMedium_ref_brp7d8cal.xml,scenarios/ai-data-center_demand-medium_efficiency-medium_reference.xml,AI_DMedium_EMedium_ref_brp7d8cal,ai-data-center_demand-medium_efficiency-medium_reference,0b9d6ed6972057c3d3289d88b3056a7418041fc0976023fd3c90d8d9279b8287,588cc3a21a00d9fc02ee0579cce374ab8d9c2e8566cf763076ae8f346357b0cd
database-archive,demand-constant,constant,high,net-zero-2050,DConstant/configuration_AI_DConstant_EHigh_nz2050co2_brp7d8cal.xml,database-archive/demand-constant/ai-data-center_demand-constant_efficiency-high_net-zero-2050.xml,AI_DConstant_EHigh_nz2050co2_brp7d8cal,ai-data-center_demand-constant_efficiency-high_net-zero-2050,265884ce641858781e7db1a8c43542ac6330e4438d12bd36306c14c58b286ddc,ddd2bdb32d33ed1291d409887dcc99941be6e9f4122d385007322b6da0809c50
database-archive,demand-constant,constant,high,reference,DConstant/configuration_AI_DConstant_EHigh_ref_brp7d8cal.xml,database-archive/demand-constant/ai-data-center_demand-constant_efficiency-high_reference.xml,AI_DConstant_EHigh_ref_brp7d8cal,ai-data-center_demand-constant_efficiency-high_reference,1d51945dbd470d7dd1cb897b6d4922a7cb45d4805651c12e1ada6751323d71f5,03b6b37a908a349c768d9f86c2bad66bc89180531272e689ba0127fbdc2e8482
database-archive,demand-constant,constant,low,net-zero-2050,DConstant/configuration_AI_DConstant_ELow_nz2050co2_brp7d8cal.xml,database-archive/demand-constant/ai-data-center_demand-constant_efficiency-low_net-zero-2050.xml,AI_DConstant_ELow_nz2050co2_brp7d8cal,ai-data-center_demand-constant_efficiency-low_net-zero-2050,f345963022384f5a766723f871074af74a6752667e7cb5163e0f017ed701dbfb,78513d4f870e99a755b1c58f7082c1c65622b08e2580e0c3ac31d0937152331d
database-archive,demand-constant,constant,low,reference,DConstant/configuration_AI_DConstant_ELow_ref_brp7d8cal.xml,database-archive/demand-constant/ai-data-center_demand-constant_efficiency-low_reference.xml,AI_DConstant_ELow_ref_brp7d8cal,ai-data-center_demand-constant_efficiency-low_reference,e3d9fc81afaed3dc86ec208f4c91b798827d557dea49da698423f2a8f4c8bf08,2c75cc8035a65a205a433d6197ad5792f32a9bafab305e9a4cbfed7cb70b835b
database-archive,demand-constant,constant,medium,net-zero-2050,DConstant/configuration_AI_DConstant_EMedium_nz2050co2_brp7d8cal.xml,database-archive/demand-constant/ai-data-center_demand-constant_efficiency-medium_net-zero-2050.xml,AI_DConstant_EMedium_nz2050co2_brp7d8cal,ai-data-center_demand-constant_efficiency-medium_net-zero-2050,3c89d14bf50110978563a428ed1f2fe137c4161c1075f28d4beea68aaee17a06,5ecf39d71a2a4de4cb1f99882ad18224328872b6dd880c780d3a9c914eaddc80
database-archive,demand-constant,constant,medium,reference,DConstant/configuration_AI_DConstant_EMedium_ref_brp7d8cal.xml,database-archive/demand-constant/ai-data-center_demand-constant_efficiency-medium_reference.xml,AI_DConstant_EMedium_ref_brp7d8cal,ai-data-center_demand-constant_efficiency-medium_reference,a6b94b511be00670a5119f344fa8d0c7e6cb04e5aa4f14320a0347766c307151,e25e7a21fd0dfab9472bf2f713989638d9028f57cc057a18bf22908feed537ac
database-archive,efficiency-high,high,high,net-zero-2050,EHigh/configuration_AI_DHigh_EHigh_nz2050co2_brp7d8cal.xml,database-archive/efficiency-high/ai-data-center_demand-high_efficiency-high_net-zero-2050.xml,AI_DHigh_EHigh_nz2050co2_brp7d8cal,ai-data-center_demand-high_efficiency-high_net-zero-2050,866e252ff46356a9a22a3025418f18db475da64e6c6db11ff9bbdd79f5ecabf2,df97fd9de79771b69c42ded52dda60e322a6a41ee5ace83450188d85dc50c57c
database-archive,efficiency-high,high,high,reference,EHigh/configuration_AI_DHigh_EHigh_ref_brp7d8cal.xml,database-archive/efficiency-high/ai-data-center_demand-high_efficiency-high_reference.xml,AI_DHigh_EHigh_ref_brp7d8cal,ai-data-center_demand-high_efficiency-high_reference,b9a072dd110d03ecdeb90214309ebbdd383498c2c08f02783b82c6385b9b98ee,23bc1741759664348a8eaaa5a3424795b06a36b3db68fe348f599573dd11d7f4
