# File: A280.subsector_interp.csv
# Title: AI production subsector interpolation
# Units: NA
# Column types: ccciic
# ----------
supplysector,subsector,apply.to,from.year,to.year,interpolation.function
training compute,training compute,share-weight,2021,2100,linear
inference compute,inference compute,share-weight,2021,2100,linear
