# File: A281.globaltech_shrwt.csv
# Title: conventional compute - global technology share-weights
# Source: structural, mirrors A280.globaltech_shrwt (zero before 2021; data centers existed but are carved
#   only at the 2021 calibration).
# Units: unitless
# Column types: cccnnnnnnn
# ----------
supplysector,subsector,technology,1975,1990,2005,2010,2015,2021,2100
conventional compute,conventional compute,conventional compute,0,0,0,0,0,1,1
